dataset,config,seed,pretrained,init_tag,split_protocol,n_pool,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,False,,resplit:deepchem-random,1128,0.7532774917265075,0.5592405796051025,0.3590751727976773,0.860932727764693,32,7726090,7726090,67.45756077766418
esol,hybrid,2026,False,,resplit:deepchem-random,1128,0.7409231961791053,0.54437655210495,0.35203825512797865,0.8818336640878703,25,7726090,7726090,58.50395393371582
esol,hybrid,2027,False,,resplit:deepchem-random,1128,0.7268992638248752,0.5421414375305176,0.34519132990679213,0.8588561607023695,24,7726090,7726090,40.98034477233887
freesolv,hybrid,2025,False,,resplit:deepchem-random,642,1.5153382020148491,1.150510311126709,0.38043919092238676,0.7835351677176636,26,7725578,7725578,9.143458366394043
freesolv,hybrid,2026,False,,resplit:deepchem-random,642,1.2664735563208034,0.8633891940116882,0.32584012664950873,0.8924807479820174,25,7725578,7725578,24.47826099395752
freesolv,hybrid,2027,False,,resplit:deepchem-random,642,1.699068119782792,1.1048511266708374,0.42699054881125015,0.7562179330215657,15,7725578,7725578,27.26325559616089
lipo,hybrid,2025,False,,resplit:deepchem-random,4200,0.809702863529075,0.6266592144966125,0.6771336175831061,0.5617605400739087,31,7726602,7726602,246.32244515419006
lipo,hybrid,2026,False,,resplit:deepchem-random,4200,0.7955944018836827,0.6297630071640015,0.6613034101179376,0.5686380593873887,22,7726602,7726602,188.98105931282043
lipo,hybrid,2027,False,,resplit:deepchem-random,4200,0.8937360068873059,0.7047622799873352,0.7427218790927277,0.4421705432965095,13,7726602,7726602,158.3168272972107
