dataset,config,seed,pretrained,init_tag,split_protocol,n_pool,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,1128,0.7115948331554174,0.5320560336112976,0.3392057249601002,0.8758974996002178,5,7724554,7724554,9.945866584777832
esol,hybrid,2026,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,1128,0.6349729463491268,0.4485529661178589,0.30169762431379266,0.9132123730720503,37,7724554,7724554,17.568596839904785
esol,hybrid,2027,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,1128,0.5779093778444414,0.4375494122505188,0.2744387243619366,0.9107860175375947,14,7724554,7724554,11.508021116256714
freesolv,hybrid,2025,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,642,1.046094973893194,0.5879644155502319,0.2626314871272559,0.8968402129900981,49,7724554,7724554,11.228657007217407
freesolv,hybrid,2026,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,642,0.9657992060778323,0.5751751065254211,0.24848220008683855,0.9374729887619402,29,7724554,7724554,8.41131854057312
freesolv,hybrid,2027,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,642,0.7592787960320717,0.5126623511314392,0.19081334411708328,0.951316395455941,26,7724554,7724554,7.998148202896118
lipo,hybrid,2025,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,4200,0.6884685542946264,0.5206825137138367,0.5757484921442316,0.6831684959606457,30,7724554,7724554,66.29040050506592
lipo,hybrid,2026,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,4200,0.6650340210307603,0.5254693031311035,0.5527807446995887,0.6985980095925399,20,7724554,7724554,55.437270402908325
lipo,hybrid,2027,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,4200,0.6677187847880671,0.5069227814674377,0.5548946744022579,0.6886347601295959,21,7724554,7724554,56.555150508880615
