dataset,config,seed,pretrained,init_tag,split_protocol,n_pool,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,True,hybrid_graph_smiles_qm9_s2025,resplit:deepchem-random,1128,0.617529014067933,0.46864748001098633,0.29436607341843857,0.9065391554295197,19,7724810,7724810,50.78441095352173
esol,hybrid,2026,True,hybrid_graph_smiles_qm9_s2025,resplit:deepchem-random,1128,0.6119757929499274,0.4661470353603363,0.2907708807628895,0.9193849979903596,16,7724810,7724810,47.328052043914795
esol,hybrid,2027,True,hybrid_graph_smiles_qm9_s2025,resplit:deepchem-random,1128,0.6315329531289372,0.4896497130393982,0.299903591624853,0.893461772227693,22,7724810,7724810,50.926371335983276
freesolv,hybrid,2025,True,hybrid_graph_smiles_qm9_s2025,resplit:deepchem-random,642,0.9183254117214412,0.5482631921768188,0.23055379728052897,0.9205010449187138,39,7724810,7724810,38.07347583770752
freesolv,hybrid,2026,True,hybrid_graph_smiles_qm9_s2025,resplit:deepchem-random,642,1.1398193963359866,0.7532376050949097,0.29325436335096083,0.9129104496495416,22,7724810,7724810,28.70268964767456
freesolv,hybrid,2027,True,hybrid_graph_smiles_qm9_s2025,resplit:deepchem-random,642,0.8948264155599773,0.6297661066055298,0.22487763605358196,0.9323827091188844,10,7724810,7724810,22.244832515716553
lipo,hybrid,2025,True,hybrid_graph_smiles_qm9_s2025,resplit:deepchem-random,4200,0.639903057177049,0.47958147525787354,0.5351344197058349,0.7262913601909974,21,7724810,7724810,153.0511875152588
lipo,hybrid,2026,True,hybrid_graph_smiles_qm9_s2025,resplit:deepchem-random,4200,0.6389628223012332,0.4833708703517914,0.5311101892194618,0.7217664049168947,13,7724810,7724810,166.546856880188
lipo,hybrid,2027,True,hybrid_graph_smiles_qm9_s2025,resplit:deepchem-random,4200,0.6575410722370851,0.5017301440238953,0.5464366848701386,0.6980543982566837,35,7724810,7724810,207.50207924842834
