dataset,config,seed,pretrained,init_tag,split_protocol,n_pool,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,False,,resplit:deepchem-random,1128,0.7837432749093137,0.5744007229804993,0.37359771791675345,0.8494562961205765,30,7726090,7726090,16.143542289733887
esol,hybrid,2026,False,,resplit:deepchem-random,1128,0.7014504307059183,0.5242370963096619,0.33328337803151703,0.8940889320839187,43,7726090,7726090,18.847410678863525
esol,hybrid,2027,False,,resplit:deepchem-random,1128,0.8082977711500637,0.6200755834579468,0.38384601067804547,0.825475574697096,22,7726090,7726090,13.47971248626709
freesolv,hybrid,2025,False,,resplit:deepchem-random,642,1.2873159425151142,1.0045857429504395,0.32319216593415007,0.8437793301101323,40,7725578,7725578,9.822507381439209
freesolv,hybrid,2026,False,,resplit:deepchem-random,642,1.6385994168835867,1.2763638496398926,0.42158119990774945,0.8200136483466322,12,7725578,7725578,5.943551540374756
freesolv,hybrid,2027,False,,resplit:deepchem-random,642,1.062936805246211,0.8508638143539429,0.26712523443838043,0.904589736949279,36,7725578,7725578,9.343566179275513
lipo,hybrid,2025,False,,resplit:deepchem-random,4200,0.7959647870637767,0.6218807697296143,0.6656448186241449,0.5765054192050951,42,7726602,7726602,78.99446821212769
lipo,hybrid,2026,False,,resplit:deepchem-random,4200,0.824522170493409,0.6291176676750183,0.6853483656674256,0.5366991897938387,36,7726602,7726602,72.85495138168335
lipo,hybrid,2027,False,,resplit:deepchem-random,4200,0.8801908472494968,0.6732083559036255,0.7314654383302676,0.45895093715836677,30,7726602,7726602,66.49254608154297
