dataset,config,seed,pretrained,split_protocol,n_pool,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,True,resplit:deepchem-random,1128,0.6444873910488809,0.45637840032577515,0.307216694841617,0.8982009318236214,20,7724554,7724554,13.767234325408936
esol,hybrid,2026,True,resplit:deepchem-random,1128,0.7015565332443601,0.548779308795929,0.3333337910199216,0.894056893810877,11,7724554,7724554,10.83762001991272
esol,hybrid,2027,True,resplit:deepchem-random,1128,0.6082144714747503,0.45364049077033997,0.2888300659051253,0.9011840762102635,26,7724554,7724554,14.57287335395813
freesolv,hybrid,2025,True,resplit:deepchem-random,642,0.9087451588896578,0.6010593175888062,0.22814858923435852,0.9221511104977751,14,7724554,7724554,6.275953531265259
freesolv,hybrid,2026,True,resplit:deepchem-random,642,1.0782167146897532,0.7028630375862122,0.27740513737274897,0.9220697456760932,19,7724554,7724554,6.984964370727539
freesolv,hybrid,2027,True,resplit:deepchem-random,642,0.8954630167665594,0.628746509552002,0.22503761945589967,0.9322864645712223,13,7724554,7724554,6.166576385498047
lipo,hybrid,2025,True,resplit:deepchem-random,4200,0.6849597253236686,0.5162236094474792,0.5728141489899669,0.68638977497989,18,7724554,7724554,53.08072781562805
lipo,hybrid,2026,True,resplit:deepchem-random,4200,0.6689003142655111,0.5162795782089233,0.5559944336026316,0.6950833281339905,29,7724554,7724554,65.25726175308228
lipo,hybrid,2027,True,resplit:deepchem-random,4200,0.6791863621935376,0.5218738913536072,0.5644245809670567,0.6778479802512918,17,7724554,7724554,52.20041251182556
