dataset,config,seed,pretrained,split_protocol,n_pool,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,False,resplit:deepchem-random,1128,0.8405332352139364,0.6590957045555115,0.40066857166391323,0.8268491054938025,13,7726090,7726090,12.051608324050903
esol,hybrid,2026,False,resplit:deepchem-random,1128,0.6855617641125423,0.5131521224975586,0.32573412259898743,0.898832609331824,33,7726090,7726090,16.288835048675537
esol,hybrid,2027,False,resplit:deepchem-random,1128,0.7074014105698896,0.5207294225692749,0.33593215159919454,0.8663265015348101,38,7726090,7726090,17.491127490997314
freesolv,hybrid,2025,False,resplit:deepchem-random,642,1.2625883430316274,1.0082883834838867,0.316984081211913,0.8497232596365193,38,7725578,7725578,9.553014278411865
freesolv,hybrid,2026,False,resplit:deepchem-random,642,1.4653490339472992,1.0525999069213867,0.3770070937716271,0.8560617781712814,34,7725578,7725578,8.971056699752808
freesolv,hybrid,2027,False,resplit:deepchem-random,642,1.1960412590124945,0.8726413249969482,0.3005755376376146,0.8791984528079382,55,7725578,7725578,11.974876403808594
lipo,hybrid,2025,False,resplit:deepchem-random,4200,0.8104297231555684,0.6192483901977539,0.6777414715385898,0.5609733791269609,24,7726602,7726602,59.88681435585022
lipo,hybrid,2026,False,resplit:deepchem-random,4200,0.8179215236318155,0.6304690837860107,0.6798618636656251,0.5440873568818996,32,7726602,7726602,68.4387719631195
lipo,hybrid,2027,False,resplit:deepchem-random,4200,0.9038645491546488,0.6837599277496338,0.751139006619536,0.42945534355436965,29,7726602,7726602,65.25411367416382
