dataset,config,seed,pretrained,split_protocol,n_pool,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,True,resplit:deepchem-random,1128,0.656451739228968,0.47789260745048523,0.3129199057265324,0.8943862213718833,14,7724554,7724554,12.216057062149048
esol,hybrid,2026,True,resplit:deepchem-random,1128,0.632596603110483,0.478505939245224,0.3005685413917956,0.9138607538901395,23,7724554,7724554,13.949998617172241
esol,hybrid,2027,True,resplit:deepchem-random,1128,0.6316468370046048,0.4827321767807007,0.2999576730202444,0.8934233388521569,18,7724554,7724554,12.545356750488281
freesolv,hybrid,2025,True,resplit:deepchem-random,642,0.8865784521486353,0.5136247277259827,0.2225834395095278,0.9259026703074988,31,7724554,7724554,8.69460391998291
freesolv,hybrid,2026,True,resplit:deepchem-random,642,1.0633308303787605,0.6214151978492737,0.27357527578189617,0.9242067020475856,30,7724554,7724554,8.546892404556274
freesolv,hybrid,2027,True,resplit:deepchem-random,642,0.7574410068718165,0.5068293213844299,0.19035149176813976,0.951551783253869,62,7724554,7724554,13.069941759109497
lipo,hybrid,2025,True,resplit:deepchem-random,4200,0.6640114259713424,0.500551700592041,0.5552956266263059,0.7052788935471064,24,7724554,7724554,59.785071849823
lipo,hybrid,2026,True,resplit:deepchem-random,4200,0.6961741733866258,0.5458678007125854,0.5786646484774043,0.6697109313954145,11,7724554,7724554,45.87784767150879
lipo,hybrid,2027,True,resplit:deepchem-random,4200,0.6642968157091129,0.5097344517707825,0.5520509137336352,0.6918180001550733,27,7724554,7724554,63.1462664604187
