dataset,config,seed,pretrained,split_protocol,n_pool,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,False,resplit:deepchem-random,1128,0.8502191569592716,0.6153197884559631,0.4052856935912385,0.8228354801993933,33,7726090,7726090,17.09244418144226
esol,hybrid,2026,False,resplit:deepchem-random,1128,0.7037578489838194,0.5233678817749023,0.3343797123190541,0.8933910005777208,42,7726090,7726090,18.61024498939514
esol,hybrid,2027,False,resplit:deepchem-random,1128,0.7700376828992652,0.5756993293762207,0.36567698588615044,0.8416064826337413,34,7726090,7726090,16.523382425308228
freesolv,hybrid,2025,False,resplit:deepchem-random,642,1.30643442120591,0.9820965528488159,0.32799203077958344,0.8391046698824322,19,7725578,7725578,6.936927318572998
freesolv,hybrid,2026,False,resplit:deepchem-random,642,1.2683783357951754,0.933158278465271,0.3263301910350391,0.8921570930803014,30,7725578,7725578,8.441797971725464
freesolv,hybrid,2027,False,resplit:deepchem-random,642,1.3496923131342442,0.9936007261276245,0.3391893796378166,0.8461669176624029,29,7725578,7725578,8.339124917984009
lipo,hybrid,2025,False,resplit:deepchem-random,4200,0.8349816035339963,0.6389276385307312,0.6982735757559977,0.5339699265371495,37,7726602,7726602,73.4345350265503
lipo,hybrid,2026,False,resplit:deepchem-random,4200,0.8425514751069848,0.6589407920837402,0.7003344447484041,0.5162162550272693,18,7726602,7726602,53.32929801940918
lipo,hybrid,2027,False,resplit:deepchem-random,4200,0.8688777568928712,0.6712717413902283,0.722063915214641,0.47276976565661977,40,7726602,7726602,77.18343663215637
