dataset,config,seed,pretrained,split_protocol,n_pool,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,True,resplit:deepchem-random,1128,0.6286470341032286,0.46638405323028564,0.29966585339220586,0.9031435130959139,19,7724810,7724810,13.537635087966919
esol,hybrid,2026,True,resplit:deepchem-random,1128,0.6744986473618526,0.5007312297821045,0.3204776529172791,0.9020714033336197,18,7724810,7724810,12.737058162689209
esol,hybrid,2027,True,resplit:deepchem-random,1128,0.6328007025855248,0.4775533378124237,0.3005056229415521,0.8930336035031905,15,7724810,7724810,11.826231002807617
freesolv,hybrid,2025,True,resplit:deepchem-random,642,1.0478443952530394,0.636728048324585,0.2630706949858297,0.896494890569229,25,7724810,7724810,7.859825372695923
freesolv,hybrid,2026,True,resplit:deepchem-random,642,1.164471701570128,0.7386847734451294,0.2995969436753622,0.909102518136634,23,7724810,7724810,7.590942859649658
freesolv,hybrid,2027,True,resplit:deepchem-random,642,0.8076215787719756,0.48877158761024475,0.20296230453416972,0.9449197360120097,26,7724810,7724810,8.005263566970825
lipo,hybrid,2025,True,resplit:deepchem-random,4200,0.6144664998184269,0.46271583437919617,0.5138624829511177,0.7476190651964707,22,7724810,7724810,57.646796226501465
lipo,hybrid,2026,True,resplit:deepchem-random,4200,0.6481513345604738,0.4925493597984314,0.5387477423200864,0.7137066808088791,20,7724810,7724810,55.61890649795532
lipo,hybrid,2027,True,resplit:deepchem-random,4200,0.6437997539515053,0.4874057471752167,0.5350172302888889,0.7105426713448469,19,7724810,7724810,54.322654724121094
