dataset,config,seed,pretrained,split_protocol,n_pool,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,False,resplit:deepchem-random,1128,0.7640080017125185,0.5892360806465149,0.3641902330108836,0.8569424506811654,15,7726090,7726090,12.48281741142273
esol,hybrid,2026,False,resplit:deepchem-random,1128,0.7927988556261782,0.607231080532074,0.3766861764368781,0.8647075976035924,16,7726090,7726090,12.016156673431396
esol,hybrid,2027,False,resplit:deepchem-random,1128,0.7808224080100717,0.561916708946228,0.3707984570293313,0.8371386703603106,19,7726090,7726090,12.677877426147461
freesolv,hybrid,2025,False,resplit:deepchem-random,642,1.678686367030411,1.2015016078948975,0.42144920680831105,0.7343515135056042,11,7725578,7725578,5.8112633228302
freesolv,hybrid,2026,False,resplit:deepchem-random,642,1.19105349462051,0.8481428027153015,0.3064359453828037,0.9049052565678931,30,7725578,7725578,8.452920913696289
freesolv,hybrid,2027,False,resplit:deepchem-random,642,1.2088699409916244,0.8929199576377869,0.30379949663903116,0.8765931297529542,33,7725578,7725578,8.912259578704834
lipo,hybrid,2025,False,resplit:deepchem-random,4200,0.8053329619715742,0.6203441619873047,0.673479181637041,0.5664780660057306,24,7726602,7726602,59.396262884140015
lipo,hybrid,2026,False,resplit:deepchem-random,4200,0.8151758952567674,0.6353163123130798,0.6775796789204371,0.5471430354060389,35,7726602,7726602,71.74535727500916
lipo,hybrid,2027,False,resplit:deepchem-random,4200,0.9226872373540637,0.7120434641838074,0.7667812345719887,0.40544511318119103,27,7726602,7726602,63.086840867996216
